Frequency,vm(vout),vm(vin)
Hz,Volts,Volts
1,9.999802604,10
1.023292992,9.999793302,10
1.047128548,9.999783561,10
1.071519305,9.999773361,10
1.096478196,9.999762681,10
1.122018454,9.999751497,10
1.148153621,9.999739787,10
1.174897555,9.999727524,10
1.202264435,9.999714684,10
1.230268771,9.999701238,10
1.258925412,9.999687159,10
1.288249552,9.999672417,10
1.318256739,9.99965698,10
1.348962883,9.999640815,10
1.380384265,9.999623888,10
1.412537545,9.999606164,10
1.445439771,9.999587605,10
1.479108388,9.999568171,10
1.513561248,9.999547822,10
1.548816619,9.999526513,10
1.584893192,9.9995042,10
1.621810097,9.999480836,10
1.659586907,9.999456371,10
1.698243652,9.999430754,10
1.737800829,9.999403929,10
1.77827941,9.99937584,10
1.819700859,9.999346427,10
1.862087137,9.999315629,10
1.905460718,9.99928338,10
1.9498446,9.999249611,10
1.995262315,9.999214251,10
2.041737945,9.999177224,10
2.089296131,9.999138454,10
2.13796209,9.999097856,10
2.187761624,9.999055346,10
2.238721139,9.999010833,10
2.290867653,9.998964223,10
2.344228815,9.998915416,10
2.398832919,9.998864311,10
2.454708916,9.998810797,10
2.511886432,9.998754763,10
2.570395783,9.998696088,10
2.630267992,9.99863465,10
2.691534804,9.998570317,10
2.754228703,9.998502954,10
2.818382931,9.998432418,10
2.884031503,9.998358558,10
2.951209227,9.99828122,10
3.01995172,9.998200239,10
3.090295433,9.998115443,10
3.16227766,9.998026653,10
3.235936569,9.997933682,10
3.311311215,9.997836331,10
3.388441561,9.997734396,10
3.467368505,9.99762766,10
3.548133892,9.997515897,10
3.630780548,9.997398871,10
3.715352291,9.997276334,10
3.801893963,9.997148027,10
3.89045145,9.997013678,10
3.981071706,9.996873004,10
4.073802778,9.996725706,10
4.168693835,9.996571473,10
4.265795188,9.996409979,10
4.365158322,9.996240882,10
4.466835922,9.996063825,10
4.570881896,9.995878434,10
4.677351413,9.995684317,10
4.786300923,9.995481063,10
4.897788194,9.995268244,10
5.011872336,9.99504541,10
5.12861384,9.994812089,10
5.248074602,9.99456779,10
5.370317964,9.994311997,10
5.495408739,9.994044169,10
5.623413252,9.993763743,10
5.754399373,9.993470125,10
5.888436554,9.993162698,10
6.025595861,9.992840812,10
6.165950019,9.99250379,10
6.309573445,9.99215092,10
6.45654229,9.991781461,10
6.60693448,9.991394633,10
6.760829754,9.990989623,10
6.918309709,9.990565579,10
7.079457844,9.990121607,10
7.244359601,9.989656775,10
7.413102413,9.989170106,10
7.58577575,9.988660578,10
7.762471166,9.988127119,10
7.943282347,9.987568611,10
8.128305162,9.986983881,10
8.317637711,9.986371704,10
8.511380382,9.985730797,10
8.7096359,9.985059817,10
8.912509381,9.98435736,10
9.120108394,9.983621955,10
9.332543008,9.982852067,10
9.54992586,9.982046085,10
9.77237221,9.981202328,10
10,9.980319035,10
10.23292992,9.979394365,10
10.47128548,9.978426392,10
10.71519305,9.977413102,10
10.96478196,9.976352388,10
11.22018454,9.975242046,10
11.48153621,9.974079773,10
11.74897555,9.972863159,10
12.02264435,9.971589685,10
12.30268771,9.970256716,10
12.58925412,9.968861499,10
12.88249552,9.967401156,10
13.18256739,9.965872676,10
13.48962883,9.964272915,10
13.80384265,9.962598584,10
14.12537545,9.960846249,10
14.45439771,9.95901232,10
14.79108388,9.957093046,10
15.13561248,9.955084508,10
15.48816619,9.952982612,10
15.84893192,9.950783084,10
16.21810097,9.948481457,10
16.59586907,9.946073069,10
16.98243652,9.943553051,10
17.37800829,9.94091632,10
17.7827941,9.938157571,10
18.19700859,9.935271266,10
18.62087137,9.932251628,10
19.05460718,9.929092627,10
19.498446,9.925787976,10
19.95262315,9.922331115,10
20.41737945,9.918715206,10
20.89296131,9.914933118,10
21.3796209,9.91097742,10
21.87761624,9.906840365,10
22.38721139,9.902513885,10
22.90867653,9.897989573,10
23.44228815,9.893258678,10
23.98832919,9.888312086,10
24.54708916,9.883140313,10
25.11886432,9.87773349,10
25.70395783,9.872081351,10
26.30267992,9.866173222,10
26.91534804,9.859998006,10
27.54228703,9.853544173,10
28.18382931,9.846799745,10
28.84031503,9.839752284,10
29.51209227,9.832388881,10
30.1995172,9.824696141,10
30.90295433,9.816660175,10
31.6227766,9.808266584,10
32.35936569,9.799500451,10
33.11311215,9.790346328,10
33.88441561,9.780788227,10
34.67368505,9.77080961,10
35.48133892,9.760393381,10
36.30780548,9.749521875,10
37.15352291,9.738176857,10
38.01893963,9.726339511,10
38.9045145,9.713990438,10
39.81071706,9.701109653,10
40.73802778,9.687676583,10
41.68693835,9.67367007,10
42.65795188,9.659068369,10
43.65158322,9.643849158,10
44.66835922,9.627989542,10
45.70881896,9.611466062,10
46.77351413,9.594254711,10
47.86300923,9.576330948,10
48.97788194,9.557669715,10
50.11872336,9.538245461,10
51.2861384,9.518032169,10
52.48074602,9.497003384,10
53.70317964,9.475132249,10
54.95408739,9.452391542,10
56.23413252,9.42875372,10
57.54399373,9.404190968,10
58.88436554,9.378675249,10
60.25595861,9.352178366,10
61.65950019,9.324672024,10
63.09573445,9.296127896,10
64.5654229,9.266517704,10
66.0693448,9.235813294,10
67.60829754,9.203986723,10
69.18309709,9.171010353,10
70.79457844,9.136856944,10
72.44359601,9.10149976,10
74.13102413,9.064912676,10
75.8577575,9.027070289,10
77.62471166,8.987948037,10
79.43282347,8.947522322,10
81.28305162,8.905770632,10
83.17637711,8.862671673,10
85.11380382,8.818205502,10
87.096359,8.772353653,10
89.12509381,8.725099283,10
91.20108394,8.676427297,10
93.32543008,8.626324489,10
95.4992586,8.574779673,10
97.7237221,8.521783814,10
100,8.467330154,10
102.3292992,8.411414334,10
104.7128548,8.354034512,10
107.1519305,8.295191471,10
109.6478196,8.234888718,10
112.2018454,8.173132578,10
114.8153621,8.109932272,10
117.4897555,8.045299984,10
120.2264435,7.979250921,10
123.0268771,7.911803352,10
125.8925412,7.842978636,10
128.8249552,7.77280123,10
131.8256739,7.701298692,10
134.8962883,7.628501652,10
138.0384265,7.554443778,10
141.2537545,7.47916172,10
144.5439771,7.402695039,10
147.9108388,7.325086115,10
151.3561248,7.246380045,10
154.8816619,7.166624517,10
158.4893192,7.08586968,10
162.1810097,7.004167984,10
165.9586907,6.921574023,10
169.8243652,6.838144355,10
173.7800829,6.753937315,10
177.827941,6.669012819,10
181.9700859,6.583432161,10
186.2087137,6.4972578,10
190.5460718,6.410553146,10
194.98446,6.323382343,10
199.5262315,6.23581005,10
